contract_start,contract_end,contract_type,rent_recurrence,building_raw,building_name,unit_number,annualized_rent,size_sqft,bedrooms,floor_level,view
2022-06-01,2023-05-31,Rental Contracts,Renewal,Golden Mile 04,Golden Mile,4301,70000.0,1303.83,1.0,3,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0302,24038.46,290.63,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Royal Amwaj South,,130,190000.0,1826.96,2.0,1,Sea View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0221,24038.46,290.63,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Basri,Al Basri,106,125500.0,1550.0,2.0,1,Sea View / Beach View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0902,24038.46,290.63,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Royal Bay,Royal Atlantis,511,175000.0,1442.36,2.0,5,Sea View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0801,24038.46,290.63,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0202,24038.46,290.63,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,222,24038.46,290.63,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,Renewal,The 8 Residential Apartments,The 8,10315,115000.0,1313.2,2.0,3,Sea View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0618,24038.46,419.79,1.0,6,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Grandeur Residences Mughal,Marina Residences,A501,175000.0,1767.0,2.0,5,Sea View / Garden View
2022-06-01,2023-05-31,Rental Contracts,Renewal,Marina Residences 3,Al Murjan,803,121000.0,1732.99,2.0,8,Sea View / Palm Jumeirah
2022-06-01,2023-05-31,Rental Contracts,Renewal,Marina Residences 3,Al Murjan,1103,126500.0,1776.04,2.0,11,Sea View / Palm Jumeirah
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1022,24038.46,290.63,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,The 8 Residential Apartments,The 8,10309,250000.0,1334.72,2.0,3,Sea View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1021,24038.46,290.63,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Marina Residences 6,Al Malak,1002,130000.0,1778.09,2.0,10,Sea View / Palm Jumeirah
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1001,24038.46,290.63,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0908,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0511,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0504,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0621,24038.46,290.63,1.0,6,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0212,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0916,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0208,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0207,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0420,24038.46,419.79,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0518,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0517,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0516,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0911,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0503,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0315,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0322,24038.46,290.63,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0313,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0514,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0513,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0505,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0506,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0507,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0910,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0312,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0310,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0309,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0402,24038.46,290.63,1.0,4,
2023-01-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Hamri,Al Hamri,309,120000.0,1140.97,1.0,3,Park View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0318,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0404,24038.46,419.79,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0816,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0904,24038.46,419.79,1.0,9,
2022-12-01,2023-05-31,Rental Contracts,New Contract,The Palm Tower,Palm Tower,4702,700000.0,2313.49,2.0,47,Sea View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0903,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0806,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1017,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Golden Mile 02,Golden Mile,2610,120000.0,1797.57,2.0,6,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0502,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Sarrood,,408,106950.0,1550.76,2.0,4,Park View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1016,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1015,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0804,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0820,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0515,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0707,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,Renewal,The Fairmont Palm North Residences,The Fairmont Palm Residences,811,175000.0,2174.31,3.0,8,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0819,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0422,24038.46,419.79,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Garden Homes Frond E (Al Bumaan),Al Malak,PJFRE080,850000.0,5000.05,4.0,,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0912,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0519,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Shoreline - Anbara,Al Anbara,606,225000.0,1993.69,2.0,6,Park View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1013,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0818,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0712,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0714,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1018,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0709,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0205,24038.46,419.79,1.0,2,
2021-11-01,2023-05-31,Rental Contracts,New Contract,One at Palm Jumeirah,,1703,800000.0,3035.42,3.0,17,Sea View / -
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0508,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0909,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0813,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0103,24038.46,419.79,1.0,1,
2020-06-01,2023-05-31,Rental Contracts,New Contract,Tiara - Emerald,Tiara Residences,1002,55000.0,2389.59,3.0,10,Sea View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0204,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0216,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0203,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0112,24038.46,419.79,1.0,1,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0107,24038.46,419.79,1.0,1,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0708,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0108,24038.46,419.79,1.0,1,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1020,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1019,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0110,24038.46,419.79,1.0,1,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Balqis Residence 2,Balqis Residences,605,160000.0,2368.06,3.0,6,Community View / Sea View
2020-06-01,2023-05-31,Rental Contracts,New Contract,THE POINTE - BLOCK C,The 8,TPTGC09,479324.58,1689.72,,G,
2022-06-01,2023-05-31,Rental Contracts,Renewal,The Fairmont Palm North Residences,The Fairmont Palm Residences,613,109250.0,1723.3,2.0,6,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Jash Hamad,Jash Hamad,909,92400.0,1140.97,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0512,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Golden Mile 06,Golden Mile,6605,98000.0,1808.34,2.0,6,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Soho Palm,,606,285000.0,2121.46,3.0,6,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Shoreline - Khushkar,Al Khushkar,808,145000.0,1550.0,2.0,8,Park View / Community View
2022-06-01,2023-05-31,Rental Contracts,Renewal,Golden Mile 04,Golden Mile,4611,123000.0,1794.34,2.0,6,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0817,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Al Khudrawi,Al Shirawi,603,154000.0,2163.54,3.0,6,Sea View / Beach View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0922,24038.46,290.63,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0815,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0210,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0414,24038.46,419.79,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0807,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0311,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0921,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1004,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0314,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0603,24038.46,419.79,1.0,6,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1003,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0704,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0319,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0317,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0606,24038.46,419.79,1.0,6,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0501,24038.46,290.63,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0421,24038.46,290.63,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0802,24038.46,290.63,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0622,24038.46,290.63,1.0,6,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0401,24038.46,290.63,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,Renewal,The 8 Residential Apartments,The 8,10215,100000.0,1313.2,2.0,2,Sea View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0701,24038.46,290.63,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0920,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0721,24038.46,290.63,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0918,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0620,24038.46,419.79,1.0,6,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Sultana,Al Sultana,603,195000.0,2163.54,3.0,6,Sea View / Beach View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0415,24038.46,419.79,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0416,24038.46,419.79,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Marina Residences 5,Al Khayali,207,187000.0,2443.41,3.0,2,Sea View / Palm Jumeirah
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0418,24038.46,419.79,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0814,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Golden Mile 01,Golden Mile,1605,93000.0,1808.34,2.0,6,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0716,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0907,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0812,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0811,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0720,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0303,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1012,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0304,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1009,24038.46,419.79,1.0,10,
2021-06-01,2023-05-31,Rental Contracts,Renewal,Garden Homes Frond C (Al Hilali),Al Ghaf,PJFRC126,575000.0,5000.05,4.0,,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0211,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1007,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Golden Mile 10,Golden Mile,10303,85000.0,1797.57,2.0,3,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0214,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Soho Palm,,203,132000.0,1637.84,2.0,2,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0213,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0520,24038.46,419.79,1.0,5,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Marina Residences 2,Al Nabat,105,120000.0,2734.03,3.0,1,Sea View / Palm Jumeirah
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1006,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0306,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0320,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0206,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Grandeur Residences Mughal,Marina Residences,BG02,165000.0,3947.12,2.0,G,Sea View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0419,24038.46,419.79,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0717,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Oceana - Atlantic,Oceana,904,150000.0,1338.17,1.0,10,Sea View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Golden Mile 08,Golden Mile,G807,115000.0,1765.28,1.0,G,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0919,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0220,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0706,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Palm Views East,,221,52500.0,548.96,0.0,2,Sea View / Palm Jumeirah
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Hallawi,Al Hallawi,803,159500.0,2163.54,3.0,8,Park View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1014,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1005,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0713,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0715,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Tiara - Sapphire,Tiara Residences,G06,102375.0,1358.08,1.0,G,Sea View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Oceana - Adriatic,Oceana,704,160000.0,1334.72,1.0,8,Sea View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,The Palm Tower,Palm Tower,2106,95000.0,523.34,0.0,21,Sea View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1008,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Jash Hamad,Jash Hamad,204,80000.0,1140.97,1.0,2,Park View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Palm Views West,,206,53000.0,548.96,0.0,2,Sea View / Palm Jumeirah
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0407,24038.46,419.79,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0307,24038.46,419.79,1.0,3,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Hallawi,Al Hallawi,401,100000.0,1586.17,2.0,4,Sea View / Street View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Azure Residences,Marina Residences,615,160000.0,1142.8,1.0,6,Sea View / -
2022-06-01,2023-05-31,Rental Contracts,Renewal,The Fairmont Palm Hotel and Resort,The Fairmont Palm Residences,R3,75000.0,723.66,,G,Sea View / Beach View
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Hamri,Al Hamri,1004,100000.0,1140.97,1.0,LP,Park View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Oceana - Atlantic,Oceana,603,135000.0,1334.72,1.0,7,Sea View / Garden View
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Hamri,Al Hamri,503,170000.0,2163.54,3.0,5,Park View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0403,24038.46,419.79,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Shoreline - Hamri,Al Hamri,504,95000.0,1140.97,1.0,5,Park View / Community View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Grandeur Residences Maurya,Marina Residences,A504,105000.0,1119.45,1.0,5,Sea View / Garden View
2022-06-01,2023-05-31,Rental Contracts,Renewal,Golden Mile 02,Golden Mile,2707,204750.0,5112.85,,7,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Shoreline - Khushkar,Al Khushkar,811,300000.0,2186.9,3.0,8,Sea View / Street View
2022-06-01,2023-05-31,Rental Contracts,Renewal,Golden Mile 05,Golden Mile,5304,74800.0,1302.43,1.0,3,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,Renewal,The 8 Residential Apartments,The 8,10216,109250.0,1291.67,2.0,2,Sea View / Garden View
2022-10-03,2023-05-31,Rental Contracts,Renewal,Tiara - Emerald,Tiara Residences,1203,125814.63,1291.67,1.0,12,Sea View / Community View
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Anbara,Al Anbara,1004,88000.0,1140.97,1.0,LP,Park View / Community View
2022-06-01,2023-05-31,Rental Contracts,Renewal,Azure Residences,Marina Residences,517,139125.0,2012.85,2.0,5,Sea View / -
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0917,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Shoreline - Tamr,,602,148500.0,2221.13,3.0,6,Sea View / Street View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0405,24038.46,419.79,1.0,4,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0219,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0218,24038.46,419.79,1.0,2,
2022-06-01,2023-05-31,Rental Contracts,Renewal,Azure Residences,Marina Residences,915,90000.0,1140.97,1.0,9,Sea View / -
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0711,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0722,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0710,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,1011,24038.46,419.79,1.0,10,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Golden Mile 07,Golden Mile,GM2B7ANCHORM1,1233180.0,18806.58,,M,Community View / Garden View
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0703,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0905,24038.46,419.79,1.0,9,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0719,24038.46,419.79,1.0,7,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0805,24038.46,419.79,1.0,8,
2022-06-01,2023-05-31,Rental Contracts,New Contract,Serenia Residences North (A),Serenia Residences,A412,210000.0,1604.9,2.0,4,Sea View / -
2022-06-01,2023-05-31,Rental Contracts,New Contract,Aloft Palm Jumeirah,,0906,24038.46,419.79,1.0,9,
